,리뷰,메뉴
96,역시 믿고 먹는 페리카나 북가좌1점입니다.,"J세트（양념치킨＋간장치킨＋콜라 1.25L）/1(추가 선택(떡 추가)),코카콜라 1.25L/1"
97,잘먹었습니다. 배달해주신 분도 친절하고 좋았어요~,"후라이드반＋양념반/1,코카콜라 1.25L/1"
98,맛있다요 맛이싸도 갑나맵다요,G세트（후라이드＋매운양념치킨＋콜라 1.25L）/1
99,맜있어요!!!!!!!!!!!!!!!!,G세트（후라이드＋매운양념치킨＋콜라 1.25L）/1(추가 선택(떡 추가))
100,4일만에 다시시킴 넘나 맛있는것,누꼬진짬뽕（뼈있는치킨）/1
101,역시 날개만하니까 혼자먹기딱이에요 완전 뜨겁게 배달와서 좋습니다 만족!!,
102,빠르게 잘 받았고 너무 맛있게 잘 먹었어요,B세트（후라이드＋양념치킨＋콜라1.25L）/1
103,잘먹었습니다,"양념치킨/1,미니핫도그/1"
104,사장님 배달오실 때 마다 너무 친절하셔서 먹기 전부터 기분이 좋아요! 맛은 두말 할 것도 없이 최고입니다ㅎㅎ,P세트（매운양념치킨＋마늘치킨＋콜라 1.25L）/1
105,항상 시켜먹는곳이라서 날더우신데 수고하시구 잘먹었습니다,E세트（후라이드＋떡양념치킨＋콜라1.25L）/1
106,후라이드바삭하고 기름도잘빠져있구맛있어요,후라이드치킨/1
107,맛있습니다 재구매의사 있습니다,다리＋날개반반（후라이드반＋양념반）/1(추가／변경 선택(떡 추가))
108,요청사항도 꼼꼼히 챙겨주시고 페리카나 와짜짱짱 조아요,B세트（후라이드＋양념치킨＋콜라1.25L）/1
109,깔끔하고 배달오신 분이 사장님같으신 데 친절하셨어용!!,후라이드반＋매운양념반/1
110,비 많이 오는 날 시켰는데 빨이 가져다 주시고 후라이드 엄청 뜨겁고 맛있고 배달은 또 왜케 친절하신거에오! 부자되세요 👍,후라이드치킨/1
111,생각보다 맛있고 괜찮았습니다....,D세트（후라이드＋마늘치킨＋콜라1.25L）/1
112,배달도 좋고 맛도 좋았습니다,후라이드반＋양념반/1(추가／변경 선택(콜라 1.25L로 변경))
113,맛있어요요요요요용요,다리 매운양념치킨/1
114,후라이드 기름도 잘빼주시고 바삭해요,후라이드반＋양념반/1
115,친절하게 배달해주시고 맛있게 잘먹었습니당,누꼬진짬뽕（뼈있는치킨）/1
116,맛도 좋고 양도 푸짐해서 맛있게 잘 먹었어요.,순살양념치킨/1
117,바삭하고 맛있어요!,"후라이드치킨/1,후라이드반＋양념반/1"
118,맛있게잘먹었어요 감ㅅㅏ합니다,B세트（후라이드＋양념치킨＋콜라1.25L）/1(추가 선택(떡 추가))
119,맛있어요 양념치킨은 페리카나,순살양념치킨/1
120,자주 시켜먹는데 초복이라 주문이 너무 많았는지 닭냄새가 많이 났어요 ㅠ,B세트（후라이드＋양념치킨＋콜라1.25L）/1
121,감사합니다 ㅎㅎㅎㅎㅎㅎㅎㅎㅎ,순살후라이드반＋순살양념반/1
122,맛있게 잘먹었어요 다른지점은 튀김옷이 두꺼운데 딱알맞게 바삭하니 맛있어요,후라이드반＋양념반/1
123,매번 별 다섯 드렷는데 이번엔 의아하게 양이 적엇어요~~닭이 작앗나 싶기도하고 쿠폰사용해서 그랫나 싶기도하고 암튼 양이줄어서 섭섭햇어요 맛은 여전히 맛잇어요 배달하시는 분도 친절하시고요~,후라이드치킨/1
124,완전 최고^^비오는데도 정성껏배달해주시고 너무 맛있게 먹었습니다. 마늘은 처음이었는데 마늘도 맛있어요^^,순살후라이드반＋순살마늘반/1(추가／변경 선택(콜라 1.25L로 변경))
125,항상 맛있고 친절하세요,B세트（후라이드＋양념치킨＋콜라1.25L）/1
126,나만먹고싶다나만나만,
127,간만에 시켰는데 맛있네요,후라이드반＋양념반/1
128,친절하시고 맛있고 최고네요!!,"D세트（후라이드＋마늘치킨＋콜라1.25L）/1,치즈스틱/1"
129,배달도 빠르고 친절하시고 무엇보다 치킨이 너무 맛있었어요~~,후라이드반＋양념반/1
130,언제나 맛 변치 않으시길. 감사합니다.,후라이드반＋양념반/1
131,배달이 빨리 왔고 사장님께서 배달 오셨나요? 엄청 친절하셨어요! 치킨도 뜨거울때 도착해서 바삭바삭 맛있게 먹었습니다 :),순살후라이드반＋순살양념반/1(추가／변경 선택(콜라 1.25L로 변경))
132,배달 정말 빨라서 좋았어요 맛있게 잘 먹었습니다^^,순살후라이드반＋순살양념반/1(추가／변경 선택(떡 추가))
133,맛있어요 ㅎㅎ 추천,후라이드반＋양념반/1(추가／변경 선택(콜라 1.25L로 변경))
134,맛있어요!!!다음에 또 시킬게요,J세트（양념치킨＋간장치킨＋콜라 1.25L）/1
135,양념만 먹었었는데 간장맛도 맛있네요. 배달도 친절~,C세트（후라이드＋간장치킨＋콜라1.25L）/1
136,넘넘 맛있어용!!!!,후라이드치킨/1
137,배달 빠르고 친절하세요~ 맛있게 잘먹었습니다!,후라이드반＋매운양념반/1
138,오랜만에 맛있게 잘먹었어요,후라이드반＋양념반/1
139,언제나맛나용 쿠폰못받았어용 다음에챙겨주세용~!,A세트（후라이드＋후라이드＋콜라1.25L）/1
140,배달두 빠르고 친절하세요 잘먹었습니다,E세트（후라이드＋떡양념치킨＋콜라1.25L）/1(추가 선택(떡 추가))
141,맛남!!!!!!!!,후라이드반＋양념반/1
142,궁금해서 시켜봤습니다. 생각보다 진짬뽕 맛 많이 나고 둘이 먹기엔 좀 많아서 면은 선택할 수 있으면 좋겠어요~,누꼬진짬뽕（뼈있는치킨）/1
143,후라이드도 양념도 넘나 맛있는곳!!!!,후라이드반＋양념반/1
144,친절하게 배달해주셔서 감사합니다. 맛도있어요,K세트（양념치킨＋마늘치킨＋콜라 1.25L）/1
145,잘 받았고 맛있게 먹었습니다.,J세트（양념치킨＋간장치킨＋콜라 1.25L）/1
146,역시 페리카나!! 제일 좋아!!,B세트（후라이드＋양념치킨＋콜라1.25L）/1
147,원래 첨에.맛잇엇는데.. 2번째 시켯을때 ㅜㅜ 덜튀겨서 느끼햇어요..,후라이드치킨/1
148,페리카나 양념 존맛,J세트（양념치킨＋간장치킨＋콜라 1.25L）/1
149,배달도 빠르고 맛도 있고 좋네요,순살양념치킨/1(추가／변경 선택(콜라 1.25L로 변경))
150,쿠폰으로 저렴하게 먹어서 넘나 좋은 것^^ 드디어 누꼬를 먹어봤네요. 카레맛 +@ 랄까??!! ㅎㅎ 면이 아주 맛있었어요. 치킨은 뻑뻑살이 조금 많아서 ㅜㅜㅋ 배부르게 잘 먹었습니다. 번창하세요 사장님^^,누꼬/1
151,항상 맛있게 먹었습니다,E세트（후라이드＋떡양념치킨＋콜라1.25L）/1
152,배달오신분 무척 친절하시구 맛도 훌륭했습니다,K세트（양념치킨＋마늘치킨＋콜라 1.25L）/1(추가 선택(떡 추가))
153,맛있어요...!!!!!,"후라이드반＋양념반/1(추가／변경 선택(떡 추가,콜라 1.25L로 변경))"
154,항상 믿고 먹은 곳!!!!,후라이드반＋양념반/1
155,"밋있다 맛있어 치킨계의 파파존스,느낌,기본에 충실해서 아주 좋아요",B세트（후라이드＋양념치킨＋콜라1.25L）/1
156,후라이드 대박 역시 페리카나,E세트（후라이드＋떡양념치킨＋콜라1.25L）/1
157,",,,,,,,,,,",순살매운후라이드반＋순살매운양념반/1
158,맛있어요 정말로 ㅎㅎ,후라이드반＋양념반/1
159,맛잇게 잘먹고있어요~~,양념치킨/1(추가／변경 선택(떡 추가))
160,페리카나는 진리아닙니까,C세트（후라이드＋간장치킨＋콜라1.25L）/1(추가 선택(떡 추가))
161,그냥 최고임. 강추...,매운양념치킨/1
162,"이집이 진짜 최고입니다. 맛, 배달시간, 친절 어느 하나 빠지는 게 없습니다 ㅋㅋ 무엇보다 치킨 자체가 넘넘 맛있어요ㅠㅠ 맨날 먹고 싶네요ㅠㅠ",순살후라이드반＋순살매운양념반/1
163,양념은 역시 페리카나!!!@,후라이드반＋양념반/1
164,친절하고 맛있었어요,후라이드반＋양념반/1
165,배달해주신분 너무 친절하시고 맛있어요 맛있게 잘 먹었습니다,후라이드반＋양념반/1
166,맛있어요 두마리짱짱!!,B세트（후라이드＋양념치킨＋콜라1.25L）/1
167,맛있게 먹었습니다어ㅓㅓㅓㅓㅓㅏ,후라이드반＋간장반/1(추가／변경 선택(콜라 1.25L로 변경))
168,양념히 좀더 마니 발렸음 좋았겠어요 잘먹었어요,다리＋날개 간장치킨/1
169,양이 조금 적은것 같은데 배달은 엄청 빨랐고 맛있게 먹었습니다,
170,솔직히 맛있다 마있어,B세트（후라이드＋양념치킨＋콜라1.25L）/1
171,먹느라 사진찍는걸 까먹어요 ㅜ,G세트（후라이드＋매운양념치킨＋콜라 1.25L）/1
172,좋아요 쿠폰써서 잘먹었어요,후라이드반＋매운양념반/1
173,오랜만에 먹었는데 맛나요,B세트（후라이드＋양념치킨＋콜라1.25L）/1(추가 선택(떡 추가))
174,치카도 맛있고 사장님도? 친절해요~,순살후라이드반＋순살양념반/1(추가／변경 선택(떡 추가))
175,마싯어요 후라이드는 정말 맛난것 같네요,G세트（후라이드＋매운양념치킨＋콜라 1.25L）/1
176,축구하는 날이라 좀 걱정했는데 안늦게 잘 와서 맛있게 먹었어요,양념반＋마늘반/1(추가／변경 선택(떡 추가))
177,"맛있게 먹었습니다.,ㅎ",B세트（후라이드＋양념치킨＋콜라1.25L）/1
178,항상 맛있어서 여기서 시켜먹지만 무엇보다 잡내안남 그리고 배달하시는분 너무 좋으심 항상 기분좋고 맛있게 먹어요 감사해요,후라이드반＋간장반/1
179,맛있어요~ 개인적으로 간장맛은 별로 안낳고 양념은 맛있았네요. 야식으로 먹기 좋았어요~,순살양념반＋순살간장반/1(추가／변경 선택(콜라 1.25L로 변경))
180,배송도 빠르고 배달기사님도 친절하셔서 기분 좋았어요! 페리카나는 원래 좋아하는데 역시 맛있어요 담에 또 시킬게용!!,순살양념반＋순살마늘반/1
181,요기서만 먹어요.. 맛있어요~^^,매운양념반＋간장반/1
182,언제나 반반 너무 맛나용~~,
183,첫 주문에 정말 맛있게 먹었습니다. 매운맛 양념치킨은 설명이 필요없는 강력 추천. 닭고기 자체가 정말 훌륭하네요,"매운양념치킨/1,후라이드반＋양념반/1"
184,역시 페리카나~ 맛있게 잘먹었습니다~~~~,"후라이드반＋양념반/1(추가／변경 선택(떡 추가,콜라 1.25L로 변경))"
185,배달하시는분도친절하고항상시키는곳이에요,후라이드반＋양념반/1
186,맛남!!!!!!!!!,양념치킨/1
187,사진찍는거 빼먹어서 오늘 받은치킨으로 연속 리뷰달았어요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,G세트（후라이드＋매운양념치킨＋콜라 1.25L）/1
188,연속 시켜먹 기 ㅜ 너무맛있음 ㅋㅋㅋ,G세트（후라이드＋매운양념치킨＋콜라 1.25L）/1
189,밥대신 치킨만먹는요즘입니다 ㅋㅋㅋ,G세트（후라이드＋매운양념치킨＋콜라 1.25L）/1
190,항상 맛있어요!!!!,후라이드치킨/1
191,맛도 가격도 좋아요,순살양념반＋순살마늘반/1
192,항상 변함없이 맛있게 먹었습니다,E세트（후라이드＋떡양념치킨＋콜라1.25L）/1(추가 선택(떡 추가))
193,다른데 인제 안먹고 패리카나로 컴팩 합니다 젤 맛나요 양념,후라이드반＋양념반/1
194,항상 맛있게 잘먹고있어요 ^^♡,후라이드반＋양념반/1(추가／변경 선택(떡 추가))
195,항상 맛있게 먹구 배달두 빠르고 친절하세요,E세트（후라이드＋떡양념치킨＋콜라1.25L）/1(추가 선택(떡 추가))
196,진짜 치킨은 페리카나 북가좌1호점이 짱인것 같아여!! 배달해주시는 분도 항상 친절하세요!!,후라이드치킨/1
197,일단 튀김옷 정말 바삭해요 그리고 반반 시켰는데 양이 1마리급 엄청 맛있어요,순살양념반＋순살간장반/1(추가／변경 선택(콜라 1.25L로 변경))
198,사진찍을 생각도못하고 먹었내요 맛있고 배달도빠르고 배달하사는분도친절해요 !,G세트（후라이드＋매운양념치킨＋콜라 1.25L）/1
199,오랜만에 페리카나 먹었는데 양념 너무 맛있네요~~,후라이드반＋매운양념반/1
200,집에서 가까운 지점도 있는데 여기서만 시켜먹어요. 페리카나 북가좌점!! 진짜 짱 맛있어요. d_b,후라이드반＋양념반/1
201,배달 빠르고 친절하시고 맛도 좋아요.,B세트（후라이드＋양념치킨＋콜라1.25L）/1
202,좋아요 벌써3번째시키는중 아이먹기에좋아요,후라이드반＋매운양념반/1(추가／변경 선택(떡 추가))
203,페리카나 맜잇어요 개인적 감상은 사실 저는 순살을 좋아 하지만. 순살 뼈 둘다 먹어본 감상은 순살보다 뼈가 맛있습니다.,순살후라이드반＋순살매운양념반/1
204,맛잇어요 튀김옷이 두껍지 않고 적당하고 바삭한게 맛잇어요 배달하는분도 친절하시고 서비스도 좋아요,후라이드치킨/1
205,여기 페리카나 양념 최고예요!! 넘나맛있음,후라이드반＋양념반/1
206,맛도 좋고 서비스도 좋고 배송하는 분도 친절해서 단골이 되가네요,후라이드（1인）/1
207,항상 맛잇게 먹었어요 배달두 빠르고요,"누꼬진짬뽕（뼈있는치킨）/1,후라이드치킨/1(추가／변경 선택(떡 추가))"
208,"페리카나 양념치킨 맛있는 것은 누구나 다 아는 사실이지만, 후라이드가 이다지도 맛있을 줄이야 ㅠㅠ 겉바속촉!! 겉은 바삭바삭하고 속은 촉촉하니..양념치킨 먹으려고 주문했다가 후라이부터 순삭했네요. 치킨무. 아삭함이 조금 덜했으나 국물양념맛은 또 킅내줍니다. ""맛있게 드세요""라며 공손히 건네주실때부터 믿음가는 치킨집시다!생각이 들었습니다.너무 맛있게 잘먹었어요. 또. 배달시킬 의향 있습니다!!^-^",후라이드반＋양념반/1
209,페리카나는 항상 여깆에서 시키네요. 잘 먹었습니다,B세트（후라이드＋양념치킨＋콜라1.25L）/1
210,치킨은 무조건 페리카나,후라이드반＋양념반/1
211,오늘은 약간 치킨이 모자라섴ㅋㅋㅋㅋㅋ 양 표시를 좀 줄엿어옄ㅋㅋㅋㅋㅋㅋㅋㅋ 역시 북가좌 1호점👍🏻,B세트（후라이드＋양념치킨＋콜라1.25L）/1
212,"떡이 좀 안익은건지.,굳은건지.,딱딱햇어요",양념치킨（1인）/1(추가／변경 선택(떡 추가))
213,잘먹었습니다아아아!,"후라이드치킨/1,양념치킨/1"
214,항상 배달두 빠르고 맛있게 잘먹었습니다,E세트（후라이드＋떡양념치킨＋콜라1.25L）/1(추가 선택(떡 추가))
215,"사장님은 언제나 친절하시고, 치킨은 언제나 맛있습니다!! 후라이드한마리+양념한마리 이번엔 무도 두개 주셨어요ㅜㅜ감사해요,사장님! 페리카나 북가좌1점 짱!!",B세트（후라이드＋양념치킨＋콜라1.25L）/1
216,양념치킨은 역시 패리카나,양념치킨/1
217,잘먹었습니다 콜라도 큰거 서비스로 주셨어요 감사합니다,매운후라이드반＋매운양념반/1(추가／변경 선택(떡 추가))
218,갑자기 매운게 땡겨서 후라이드에서 반반 메뉴로 배달전에 바로 변경 했는데 친절하게 바꿔주셔서 감사해요 ㅠㅠ 배달해주시는 분도 엄청 친절해서 기분좋게 치킨뜯었습니다!! 원래 리뷰 안남기는데 여기는 너무 친절하셔서 남깁니당! 암튼 존맛탱이에옹,후라이드치킨/1
