,리뷰,메뉴
249,교촌 즐겨먹지만 조금 덜 짯으면하네요 레드콤보는 역시 애일맥주랑 딱인듯!!,레드콤보/1(세트 선택(선택안함))
250,허니콤보 양도많곶바삭하고 진짜 맛잇어요,허니콤보/1
251,레드위만 먹어봤는데 레드오리지날도 괜찮네요~ 레드윙보다 살코기가 많아서 그런지 부드럽고 좋네요~,레드오리지날/1
252,정말 맛잇게 먹엇습니다,레드콤보/1
253,교촌 레드윙 사랑입니다,레드윙/1(세트 선택(선택안함))
254,레드윙 레드윙!! 제일 맛난 메뉴,레드윙/1
255,아이들이 가장 좋아하는 치킨입니다.,허니콤보/1
256,엄마도 너무맛있다고 잘먹었어요,허니오리지날/1
257,허니콤보에 레드콤보 소스는 언제나 최고에요,"허니콤보/1,레드디핑소스/2"
258,"엄청 바삭하고, 맛있어요!! 양이 생각보다 많아서 2명이서 먹었는데 둘다 엄청 배불러했어요ㅋㅋㅋㅋ",교촌콤보/1(세트 선택(웨지감자（세트）))
259,"배송도 빠르구요, 맛있습니다~~~",허니콤보/1
260,너무 맛있어요 또 주문해서 먹을거에요 배달도 빨라요,허니콤보/1
261,정말 맛있어요!재주문합니다,허니콤보/1(세트 선택(웨지감자（세트）))
262,ㅎㅎ양이좀 작아용ㅠㅠ,반반콤보/1(세트 선택(선택안함))
263,배달도 생각보다 빠르고 따뜻하게 와서 잘먹었습니다 감사합니다!!,"반반콤보/1(세트 선택(웨지감자（세트）)),잠발라야소스/1"
264,명불허전 교촌 레드콤보,레드콤보/1
265,맛있었어요. 소떡소떡때매 시켜봤어ᄋᆢㄷ,반반오리지날/1(세트 선택(웨지감자（세트）))
266,배달직원 직접 고용한걸로 아는데 초인종 누르고 바로 현관문 쾅쾅 두드리면 기분 좋겠습니까 거실서 앉아 있다 일어나는데 쾅쾅두드리니..배달직원 교육 좀 하세요.,반반오리지날/1
267,배달빠르고 맛이야 한결같고요,허니콤보/1
268,맛있어요 근데 닭뼈가 거무스름해서 신선해보이지가 않아요,허니콤보/1
269,여기 닭이 이세상에서 제일맛있어요,반반오리지날/1(세트 선택(선택안함))
270,단맛 보다는 너무 바싹익혀서 식감이 별로였어요...,허니순살[R]/1(세트 선택(웨지감자（세트）))
271,고기 덜 익힌 채 배달돼서 아쉬움,레드오리지날/1(세트 선택(선택안함))
