,리뷰,메뉴
83,자담은 처음 먹어봤는데 간장이 맛있네요,핫후라이드 치킨/1(맛 선택(후라이드＋간장))
84,"정말 여기 치킨은 흠잡을데가 없어요 튀김, 고기, 양념 모두가 맛있어요 단순히 간을 쎄개해서 맛있다고 착각하게 만드는게 아니예요",순살 치킨/1(맛 선택(간장＋허니버터))
85,왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈왈 후라이드 치킨도 너무 맛있고 감튀도 존맛이었어요ㅠㅠㅠㅠㅠ,"동물복지 후라이드 치킨/1(맛 선택(동물복지 후라이드 한마리)),치즈 웨지감자/1"
86,자담 간장치킨은 진리!,동물복지 후라이드 치킨/1(맛 선택(후라이드＋간장))
87,맛있게 잘 먹었습니당!,핫후라이드 치킨/1(맛 선택(동물복지 후라이드 한마리))
88,맛나게 잘 먹었습니다 담에 한번더 콜~,순살 치킨/1(맛 선택(순살치킨))
89,먹을만 하네요.,골뱅이소면/1
90,반반 갠차나요요요요,"후라이드 치킨/1(맛 선택(후라이드＋양념)),생맥주 500cc/1"
91,양념치킨에서 닭 누린내가 났습니다 남겼네요,"후라이드 치킨/1(맛 선택(양념 한마리)),후라이드 치킨/1"
92,배달도 빠르고 맛있네요,"핫순살 치킨/1(사이드메뉴 추가(콜라 사이즈 업),맛 선택(후라이드 한마리))"
93,생각보다 빠르게 와서 기대 안했는데 생각했던것보다 훨씬 맛있었습니다,후라이드 치킨/1(맛 선택(후라이드＋양념))
94,친구한테 후라이드가 맛있다고 추천받아서 시켜봤는데 정말맛있네요 나중에 다른메뉴도 하나씩 시켜먹어보겠슴다,핫후라이드 치킨/1(맛 선택(후라이드 한마리))
95,24시간은 자담이 최고에요~,핫후라이드 치킨/1(맛 선택(후라이드 한마리))
96,맛있어요 항상 ㅋㅋㅋ 어쩜 글케 맛있지,핫후라이드 치킨/1(맛 선택(후라이드 한마리))
97,맛있게 잘 먹었어요.,후라이드 치킨/1
98,오류인지 배달이 안왔는대 배달 완료 되어 있습니다 요기요 확인 중에 있습니다.,후라이드 치킨/1(맛 선택(후라이드＋양념))
99,맛잇어요ㅎㅎㅎㅎㅎㅎ,후라이드 치킨/1(맛 선택(후라이드＋양념))
100,이벤트날이라 50분 넘게 걸릴 수 있다고 해서 그런가 했는데 채 30분도 안지나고 오셔서 놀랐습니다. 소스양 충분해서 좋았고 맛있었습니다.,순살 치킨/1(맛 선택(후라이드＋양념))
101,바삭바삭하니 괜찮네요! 예전에 3가지맛콤보+감튀주는 치킨먹고 치킨이 너무 바삭해서 감동받았는데 그 가게가 여기인가? 긴가민가 해깔리네요ㅜㅜ 암튼 맛있게 잘 먹었습니다,핫후라이드 치킨/1(맛 선택(후라이드 한마리))
102,배달도 친절하시구 핫후라이드가 너무 맛있어요~^^,핫후라이드 치킨/1(맛 선택(후라이드 한마리))
103,오늘 8번째로 시켜먹는데 처음으로 굉장히 실망스러웠네요 오늘 할인행사도 하고 그래서 주문이 많이 들어온건 이해하고 저도 싸게 시켜서 왠만하면 이해하려고 했는데 양념반 후라이드 반을 시켰는데 후라이드로만 오고 양념소스는 하나도 안왔고 전화를 했더니 계속 통화중이고 배달 3시간만에 왔네요 배달부분은 주문이 폭주했으니 그나마 넘어가겠지만 소스를 하나도 안주셔서 먹는데 너무 퍽퍽했네요.. 오늘은 너무 실망스러웠습니다.....,순살 치킨/1(맛 선택(후라이드＋양념))
104,치킨의 생사를 알수없음 돈이라도 돌려주셈,"순살 치킨/1(맛 선택(후라이드＋양념),사이드메뉴 추가(콜라 사이즈 업))"
105,짜증나죽겠다 배달이 4시간째 안온다 전화도 안받는다 주문이 들어간건지 취소된건지 알림도안온다 돈은돈대로먹고 음식은 안준다 안내메세지 하나도없다 오늘안에 먹을수있을지 모르겠다 개짜증난다,순살 치킨/1(맛 선택(간장 한마리))
106,말복인데도 배달이 빠른편이네용 치킨도 바삭바삭하니 맛있었구요 감자튀김도 들어있어 너무 좋았습니당 잘먹었어요~,"순살 치킨/1(맛 선택(후라이드＋간장),사이드메뉴 추가(무 추가))"
107,맛있고 양 많습니다~,날다닭 치킨/1(맛 선택(후라이드 한마리))
108,혼자먹기 적당하구요 배송도 괜찮아요 맛은 후라이드굿 양념은 역시 페리카나가... 감자튀김 건강하근 기름도 잘바꾸시는거같아요 자담치킨 부자되세요,"순살 치킨/1(맛 선택(후라이드＋양념),사이드메뉴 추가(파 추가))"
