,리뷰,메뉴
140,양이 약간 적은듯 했지만 혼자먹기에는 딱 좋았어요! 잘먹었습니다,The.화이트치킨（슈프림）/1
141,너므너으 맛있어요 또시켜먹을래용,두마리세트（후라이드＋핫슈프림양념）/1
142,굉장히 맛있어요 또 먹을게요,두마리순살세트（와락간장＋슈프림양념）/1
143,정말로 맛있었습니다,순살 슈프림양념치킨/1
144,"처음 시켜먹어봤는데 맛, 양 모두 괜찮았어요. 배달하시는분도 친절하셔서 좋았습니다.",The.화이트치킨（슈프림）/1
145,잘 먹었어용~ 😀😀😀😀😀,"The.화이트치킨（슈프림）/1,겨자소스/1,올리고당양념소스 추가/1"
146,처갓집 치킨 맛있어용,반반（순살올리고당양념반＋순살슈프림양념반）/1
147,신촌에서 멀리까지 배달오는건 인정!̆̈ !̆̈ 근데 슈프림순살치킨.. 내가진짜싫어하는 치킨 순살인데 겉에 튀김옷이랑 껍질?̊̈ 닭기름덩어리.. 닭가슴살이 아니라서 그런것도 잇겟지만. 그냥 주관적인입맛으로 개불호여서 한입먹고 뱉은다음에 안먹고 가족줌.. 저처럼 뻑살충이나 닭기름이런거 싫어하는사람은 시키지마세요 그냥 일반시켜드삼~~,순살 슈프림양념치킨/1
148,굳.,순살 슈프림양념치킨/1
149,소스양이 너무 적어요....,"핫슈프림 양념치킨/1,1.25L 판매 /1"
150,다른 지점보다 양이 적게느껴졌어요 하지만 맛있습니다,The.화이트치킨（슈프림）/1
151,비와서 배달시간은 한시간 반 치킨맛있음 근데 다리가 하나만 있음,반반（후라이드반＋올리고당양념반）/1
152,넘나 맛있어요 항상 최고ㅠ,"순살 슈프림양념치킨/1,1.25L 변경/1"
153,처음 주문해 보는데 너무 맛있게 잘먹었습니다 다음에 또 이용할게요!,두마리순살세트（후라이드＋슈프림양념）/1
154,너무너무어뮤맛잇어요,"순살 올리고당 양념치킨/1,1.25L 변경/1"
155,"지난번 주문에도 1시간 걸린다더니 90분만에 오고, 이번에도 1시간 걸린다더니 100분 넘어서 오고. 다시는 안 시켜 먹는다.",반반（순살올리고당양념반＋순살와락간장반）/1
156,배달이 2분 정도 늦긴 했지만 엎질러지거나 한 것도 없었고 일단 괜찮았고 슈프림 양념치킨은 처음 먹는 건데 정말 맛있네요. 양도 bbq는 8조각인데 처갓집은 10개나 들어있었어요. 심지어 사이즈까지 더 컸습니다. 양념 듬뿍 쭈려주셨네요. 제가 사는 동네에도 처갓집이 있지만 다리만 들어있는 치킨은 없었고 배달비도 받아서 신촌으로 시켜뫘는데 성공했네요.ㅋ 배달 늦어질 것 같아서 전화도 해봤는데 친절하셨어요. 완전 강추입니다!,다리 슈프림양념치킨/1
157,맛있게잘먹었습니다,반반치킨（후라이드반＋올리고당양념반）/1
158,역시 수프림양념 ㅜㅜㅜ 맛있게 잘 먹었습니다,반반（와락간장반＋슈프림양념반）/1
159,처갓집은 처음인데...아들이 맛있다고 해서... 양념 시켰는데...맛있서요...,올리고당 양념치킨/1
160,닭이 너무 부드럽고 맛있었어요 ㅎㅎ,순살 슈프림양념치킨/1
161,맛있어용 감사합니당~~!!,"두마리순살세트（후라이드＋슈프림양념）/1,두마리순살세트（와락간장＋슈프림양념）/1"
162,맛있네요 눅눅해서 아쉬웠습니다 바삭하게 먹고 싶어요,순살 핫슈프림양념치킨/1
163,카드 결제하기로했는데 사전고지없이 배달와서 갑자기 카드기가 고장났다고 현금을 달라네~ 가게에 전화해서 확인해보니까 카드 결제기는 멀쩡하고 일부러 카드기 두고온거였네요~ 생긴지 얼마안된 가게같은데 말도안되는 서비스에 감탄^^,순살 슈프림양념치킨/1
164,슈프림양념치킨 기대하고 먹었는데 순살이어서 그런지 기대만큼은 아니었어요 뼈로 먹었으면 더 맛있었을 듯! 더화이트치킨은 양념있는걸로 먹어야 좋을 것 같아요 골드치즈는 너무 퍽퍽해요 그나저나 처돌이 때문에 더화이트 시켰는데 안주는건가봐요...,"The.화이트치킨（골드치즈）/1,순살 슈프림양념치킨/1"
165,왜이렇게맛있죠???,순살 슈프림양념치킨/1
166,왜들 슈프림 추천하는지 알겠어요 처돌이인형도 영원히 간직할거에요...☆,반반（순살후라이드반＋순살슈프림간장반）/1
167,오지도않았는데 무슨 리뷰를달라고,"두마리순살세트（와락간장＋슈프림양념）/1,무 추가/1"
168,역시나 처갓집 양념은 진리입니다...ㅎㅎ 떡은 제가 구운거 넣었는데 케미가 좋네요ㅋ,
169,양도 많고 맛있어요!! 간장 처음 먹는데 정말 맛있더라고요!!~,두마리순살세트（와락간장＋핫슈프림양념）/1
170,처돌이를..못받았지만 맛있게 먹었습니다 ㅠ ㅠ,The.화이트치킨（슈프림）/1
171,비싼 돈 주고 두마리 시켰는데 먹고나서 친구랑 저 모두 하루 종일 배가 아파 죽겠네요 재료 신선도가 이상한건지 소스가 이상한건지 하...,두마리순살세트（올리고당양념＋레몬파닭）/1
172,배달도 빠르고 처돌이도 맛있어요. 아니 치킨이 맛있고 처돌이는 귀여워요. 이번 신메뉴인 the 화이트 치킨 먹으니 처돌이보다 처돌아버릴 거 같아요. 완전 맛있어요 지금도 눈물 흘리면서 리뷰 쓰고 있어요... 처돌이 만세 아니 처갓집 만세,The.화이트치킨（슈프림）/1
173,조금 먼 곳에서 주문했는데도 예상시간대로 배달해주셔서 감사했습니다. 역시 양념은 처갓집이네요!!!!!! 너무 맛있어서 처돌이 될꺼같아요🐔🐔 번창하세요~,반반（후라이드반＋올리고당양념반）/1
174,빨리와서 좋네용~ 맛나게 먹을게유,올리고당 양념치킨/1
175,맛잇어요 역시 양념은 처갓집 양도 많구요 ㅎㅎ,슈프림 양념치킨/1
176,비추 특별한 날도 아니고 행사하는 것도 아닌데 1시간 15분 걸려서 왔는데 눅눅 미지근하고 콜라도 거의 실온수준 다신 안시킴 돈 아까움 최악,The.화이트치킨（슈프림）/1
177,처음 먹어봤는데 맛있어요 배달원님도 친절했어요,순살 슈프림양념치킨/1
178,처갓집 처음 먹어봤는데 맛있어요~~! 무도 하나 더 주시구 감사합니다 ^^,두마리세트（와락간장＋슈프림양념）/1
179,튀김은 바삭하고 맛있는데 조금 느끼했어요 ㅠ_ㅠ 하지만 여전히 맛있네요,The.화이트치킨（슈프림）/1
180,맛있어요!!!!! 처갓집 양념통닭 맛있다는 말은 많이 들었는데 처음 시켜 먹어봤어요 옛날통닭맛인데 닭냄새없고 양념도 완전 맛있네용.다만 많이 먹으면 약간 느끼하긴 합니다 배달시간도 1시간 정도 걸린다고 했는데 30분정도만에 왔어요~ 종종 시켜 먹어야겠네용! 번창하세요!,슈프림 양념치킨/1
181,배달온거보고 깜짝놀라서 리뷰 남겨요...빨리 온것도 아니고 60분 꽉채워 배달왔는데 이렇게까지 되어있으면 당황스럽네요 매번 그런건 아니니까 다음번엔 잘 좀 보내주세요,The.화이트치킨（슈프림）/1
182,배달도 예상시간보다 빨리 오고 처돌이 인형도 받아서 넘 좋아용~~~~ 처갓집 치킨은 언제 먹어도 맛있어용ㅎㅎㅎㅎ,The.화이트치킨（슈프림）/1
183,조금 눅눅했지만 맛있었어요!!,두마리세트（슈프림양념＋핫슈프림양념）/1
184,핫슈프림 시켰는데 그 흰색소스도 너무 적고 양념자체도 적은 느낌..? 둘다 바삭바삭하긴 했는데 예전에 먹은 슈프림의 감동은 못느껴서 아쉬웠던..,반반（후라이드반＋핫슈프림간장반）/1
185,완전 맛있어요. 신촌에서 슈프림을 먹다니,순살 슈프림양념치킨/1
186,정말로 정말...정말정말 맛있어요 양념많이달라고했더니 진짜 많이주셔서 햇반두애로 치밥해도 충분했고 암튼 순살인대 다 다리살이고 허벅지살이고 아니 그냥 완벽해요ㅠ,순살 슈프림양념치킨/1
187,그냥 시켜라 오늘도먹을까 고민중..,순살 슈프림양념치킨/1
188,배달이 엄청 늦네요ㅠㅠ한시간반정도 걸렸어요 그래도 맛있었어요,"순살 슈프림양념치킨/1,1.25L 변경/1"
189,집근처에처갓집이생겨레알로행복합니다 ㅠㅠ,슈프림 양념치킨/1
190,배달엄청빨라요 맛도 괜찮아요,반반（순살후라이드반＋순살핫슈프림간장반）/1
191,맛은 짱! 양도 짱! 그리고 배달 30분안에 왔어요! 짱짱짱!,The.화이트치킨（슈프림）/1
192,친구들이 맛있다고 해서 처음으로 먹어봤는데 정말 맛있네요 ㅠ ㅠ 따뜻할 때 먹으니까 존맛탱,슈프림 양념치킨/1
193,배달이 엄청 느린거빼고 백점,핫슈프림 양념치킨/1
194,믿고 먹는 처갓집 슈프림!,두마리세트（후라이드＋슈프림양념）/1
195,맛있게 먹었습니다 감사해요,"두마리순살세트（와락간장＋슈프림양념）/1,1.25L 변경/1"
196,느끼하지 않고 담백해서 너무 맛있게 먹었어요.,반반（후라이드반＋올리고당양념반）/1
197,처가집은 뭐~ 말이필요없죠,"두마리세트（후라이드＋올리고당양념）/1,1.25L 변경/1"
