,리뷰,메뉴
69,잘 먹었습니다 맛있어요,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(슈퍼슈프림피자L),L 추가 선택(치즈크러스트 추가),추가 선택(버팔로윙5개))"
70,그냥... 그냥..,슈퍼슈프림 피자 M/1
71,맛잇엇는데 도우가좀 별로에요,포테이토 피자 M/1
72,새벽에 맛있게 맛있게 먹었습니다,"치즈오븐스파게티/1,스프라이트 1.25L/1"
73,늘 시켜먹는 jmtgr 맛,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(슈퍼슈프림피자L),L 추가 선택(치즈추가),추가 선택(버팔로윙5개)),갈릭디핑소스/2"
74,맛있게 먹었어요! 콜라가 같 오는지 알았는데 아니네오 ㅠ,직화스테이크 피자 L/1
75,빵식감이 별로 안좋았어요,"슈퍼슈프림 피자 M/1,치즈오븐스파게티/1"
76,배달이 너무늦네요 이시간에 여기밖에없어서 시켜먹고는있는데 주문할때마다 좀그러네요,"옥수수피자 L/1(L사이즈 추가선택(치즈크러스트 추가)),미트소스스파게티/1"
77,맛있었어요! 더음에 다른 메뉴 먹어보고싶네용,슈퍼슈프림 피자 M/1(M사이즈 추가선택(치즈추가))
78,이야...양도 많고 맛도 좋고 배터지는 줄 알았네요.,
79,전체적으로 맛있었습니다,"치즈 피자 L/1,콜라 1.25L/1"
80,고르곤졸라에 왜 파인애플을 넣으세요ㅠ,고르곤졸라피자 M/1(M사이즈 추가선택(토핑 추가))
81,핫소스 4개 계산되고 1개왔어요 어쩔수 없지만 담엔 이런실수 하시지 말기를...,"슈퍼슈프림 피자 L/1,핫소스 1개/4,스프라이트 1.25L/1"
82,맛있어요 치즈도 좋고,SET1（명품오리지널피자 L＋치즈스틱 5개＋버팔로윙 5개＋콜라 1.25L）/1(SET메뉴 피자선택(슈퍼슈프림피자L))
83,너무너무 맛있고 배달도 빨라서 매번 이것만 시켜먹습니다 !!,슈퍼슈프림 피자 L/1
84,"1. 배달하시는 분이 엄청친절하셔서 여타 딱딱하거나 늘 급하시거나 불친절한 배달직원에 대해 실망하는 첫인상은 아님. 너무너무 좋으심 2. 치즈덕후라서 명품오리지널 슈퍼슈프림에 치즈 추가했는데 역시 임실치즈만의 쫄깃하고 맛있는 치즈향에 반함. 치즈가 도우 두께만큼 올라감. 더말이필요없는JMT 3. 버팔로윙 짭짤해서 맥주안주로 개굳. 4. 치즈오븐스파게티는 면은 부드럽게 삶아졌고, 소스가 넉넉하고 치즈 듬뿍올려주셔서 소스랑 팍팍비벼서 먹어도 소스가 남을정도! 5. 늦은시간인데2-30분만에 뜨겁게 배달옴 6. 아무튼 두번 세번 먹을거임❤️","SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(슈퍼슈프림피자L),L 추가 선택(치즈추가),추가 선택(버팔로윙5개)),갈릭디핑소스/2"
85,진짜 맛없네요 포테이토에 가장중요한 통감자도 없고 허니포테이토인데 꿀은찍어먹는거고 맛은또 왜이리 싱거운건지 너무 실망이네요 내 이만원...,"허니버터 포테이토 피자 L/1(L사이즈 추가선택(씬도우 추가)),치즈오븐스파게티/1"
86,토핑은듬뿍들어가서 좋았으나 치즈양이아쉬움ㅜㅜ,허니버터 포테이토 피자 L/1
87,맛있고 고구마무스가 기본으로 있어서 좋아요 조각의 사이즈가 랜덤인건 아쉽지만 맛있으니 ㅎㅎ 피자는 여기서 시켜먹으려구요,포테이토 피자 M/1
