,리뷰,메뉴
142,처음 시켰는데 배달도 빠르고 좋아요,"NEW 징거버거세트/3(사이드변경(후렌치후라이),음료변경(콜라))"
143,하나도 눅눅하지 않게 잘 왔고 음료도 깔끔하게 왔어요❤️ 타르트는 언제나 맛있네요,"NEW 핫치즈징거버거세트/1(사이드변경(텐더떡볶이교환),음료변경(환타오렌지교환)),콘타르트/1,에그타르트/2"
144,배달도 빠르고 맛있게 잘 먹었어요.,"핫칠리씨치킨1조각/1,NEW 핫치즈징거버거/1,에그타르트/1,비스켓/1,코울슬로/1"
145,먹을만 헌데 치킨이 약간 눅눅,Best 버거팩/1
146,버ㅓㅓㅓㅓㅓㅓㅓㅓㅓ억,"블랙라벨 에그타워버거세트/1,NEW 타워버거/1"
147,맛있게 잘먹엇어요 배달도 빠르고 따듯학 가져다 주셔서 감사합니다,NEW 징거버거/3
148,배달 빠르고 맛있어요,"에그타르트/7,버터/1"
149,이제 버거세트에서 사이드메뉴를 비스켓으로 못바꾸나봐요 ㅠㅠ,"NEW 타워버거세트/1(사이드변경(올쉐킷치즈교환),음료변경(환타오렌지교환)),비스켓/2,콘샐러드/1"
150,ㅋ,갓양념치킨 6조각/1
151,쿠폰 영향인지 월래이런건지 미리 미리 조리해둔 온도 다시 먹고 싶단 생각은 안들듯,"New 치킨도버거도팩/1,NEW 징거버거/1,올쉐킷치즈시즈닝/1"
152,kfc오랜만에 먹네요,"블랙라벨 에그타워버거세트/1,NEW 핫치즈징거버거/1,콘샐러드/1"
153,잘먹었습ㄴ디다.ㅂㅈㄱㄷ,"핫윙 4조각/1,텐더스트립스 4조각/1,치킨너겟 10조각/1"
154,거리가 꽤 먼데 배달이 빨리와서 놀랐어요 ㅎㅎ,핫크리스피치킨 버켓세트/1
155,나이트타임 최고에욤!,"핫크리스피치킨 1조각/4,코울슬로/1,페트콜라（500ml）/1"
156,내가 다시는 진짜 아무리 돈이 많아도 안먹는다,New 패밀리팩/1
157,맛있어요 ~맛있어요,"New 치킨도버거도팩/1,텐더떡볶이/1,버터/2"
158,다리살은 조금 매콤하네요.,"블랙라벨치킨 4조각/1,오리지널치킨 4조각/1"
159,맛있고 좋습니다 .,오리지널치킨 1조각/6
160,진거버거는 먹을때마다 왜 오징어가 아닌지 싶음,
161,버어ㅓㅓㅓㅓㅓㅓㅓㅓㅓ억,"NEW 징거더블다운맥스세트/1(사이드변경(후렌치후라이（L）교환),음료변경(콜라)),NEW 징거버거/1"
162,배달 예상시간보다 훨씬 빨리 오셨어요. 블랙라벨 치킨 첨먹어봤는데 넘 맛있어요. 좀 짜긴한데 맥주랑 같이 먹음 더 맛있을듯요. 양이 적어보였는데 순살이라 생각보다 배부르고요. 텐더도 맛있고 넘 잘먹었네요ㅋㅋ,"블랙라벨치킨 4조각/1,텐더스트립스 2조각/1,캔콜라/1"
163,잘먹었어요 수고하세요,"블랙라벨 에그타워버거세트/1,핫윙 2조각/1,코울슬로/1,콘샐러드/1"
164,배달도 빠르고 좋습니다! 감사합니다,핫크리스피치킨 버켓세트/1
165,맛있게 먹었습니다 ㅎㅎ,"갓양념치킨 1조각/3,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,코카콜라¸/1"
166,갓튀긴거 왓구요 배달도 빠름,"핫칠리씨치킨1조각/1,블랙라벨치킨 1조각/2,핫크리스피치킨 1조각/1,에그타르트/2"
167,실수로 안준건지 아까워서 안준건지....결국 콜라와 콘 안가져다 주시네요. 느끼해서 치킨에 손도 안가고... 이따위 마인드로 장사 하다니 대형체인점이라 망하진 않겠지만 피땀흘려 번돈으로 두번 다시 이따위 가계에서 안시켜 먹어야지 .....,핫크리스피치킨 버켓세트/1
168,맛 양 배달 굿입니다.,"후렌치후라이（M）/1,콘샐러드/1"
169,맛있게 잘먹었습니다^^,"NEW 핫치즈징거버거세트/1(사이드변경(후렌치후라이),음료변경(콜라)),NEW 징거버거세트/1(사이드변경(후렌치후라이),음료변경(콜라))"
170,항상 주문하는 음식이지만 만족합니다.,Summer버거팩/1
171,갈비치킨도 블랙레벨 치킨도 맛있었고 양도 그럭저럭 푸짐했는데 핫윙에 나오는 핫쏘스 좀 최대한 많이 챙겨달라고 요청사항까지 적었었는데도 단 한개도 안와서 매우 섭섭했어요... ㅠ.ㅠㅋ,"왕갈비 오븐치킨 4조각/1,블랙라벨치킨 4조각/1,핫크리스피치킨 1조각/2,핫윙 4조각/1,코울슬로/1"
172,맛있어요 매장에는 일회용 비닐장갑있던데 양념치킨먹을때 그거하나만 더 있었으면 정말좋았을거같아요,"갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,오리지널치킨 1조각/1,트위스터/1,통오징어바이트 5조각/1,코울슬로/1"
173,배달 빠르고 맛있어요.,Summer버거팩/1
174,양이 많아요 떡볶이맛 나는 소스는 비추~,트리플리치오리지널버거팩/1
175,진짜 배달 극혐인게 소스 이리저리 다 묻고 콜라도 다 묻어있고 참..,"블랙라벨클래식버거세트/1(사이드변경(후렌치후라이（L）교환),음료변경(콜라)),NEW 타워버거/1"
176,역시 kfc 맛있어요,핫크리스피버켓¸/1
177,맛있게 냠냠~~~^^ 역시 치킨은 kfc 갓양념은 달짝..크리스피는 바삭하니 좋아요,"갓양념치킨 1조각/1,핫크리스피치킨 1조각/4,비스켓/1"
178,잘먹었습니다 ㅎㅎㅎㅎㅎ,트리플리치오리지널버거팩/1
179,바삭바삭 맛있게 잘먹었습니다.,핫크리스피치킨 6조각/1
180,조금 눅눅하고 튀긴지 오래된듯한 느낌이지만 그런데로 맛있고 배달 빠른편임,"NEW 치킨도버거도세트/1,갓양념치킨 1조각/1,블랙라벨치킨 1조각/1,핫크리스피치킨 1조각/1,오리지널치킨 1조각/1"
181,"솔직히 이런거 안쓰는데, 그냥 돈이 아깝네요","NEW 핫치즈징거버거세트/1(사이드변경(후렌치후라이),음료변경(스프라이트교환)),치킨너겟 6조각/1,롱치즈스틱/1"
182,맛좋구 포장 잘 해서 보내주시니 좋았습니다. 지난번 비오는날은 좀.. 포장상태가 별루였는데.이번엔 잘 받았습니다~,"베스트디저트팩/1,블랙라벨치킨 1조각/3"
