,리뷰,메뉴
186,쏘쏘합니다..후추가 통이라서 맘에안듬 ㅠ,순살마라칸/1
187,배달이 늦었지만 맛있게 잘 먹었습니다^^,마라칸＋뿌링치즈볼/1
188,ㅈㅅㅈ슿ㄷㅅㄷㄴㅈㄴㅈㄱㅈㄱㅈㄱ,뿌링클/1
189,역시 치킨은 진리다,"뿌링클/1(추가메뉴(뿌링치즈볼)),달콤바삭치즈볼/1"
190,고맙습니다! 잘먹겠습니다! 이벤트때문에 많은 주문량때문에 고생많으십니다! 배달원님께서 늦어서 죄송하다 하셨는데 주문량이 많아서 이해하고 거리도 있어서 이해합니다! 늦으셔봣자 5분도 안늦으셧는데 ; 오히려 더 제가 죄송하네요! 덕분에 잘먹어요!! :-),뿌링클/1
191,마시나요요요요요요요요,"빨간소떡/1(추가메뉴(뿌링뿌링소스,뿌링소떡,빨간소떡,뿌링치즈볼))"
192,좀 짰어요ㅠㅠ 더 매운맛으로 하면 원래 좀 짠가요?ㅠ 배달은 빨랐고 뿌링 치즈볼은 늘 맛있었습니다 ㅎㅎ,"맵스터/1(추가메뉴(뿌링소떡,뿌링치즈볼))"
193,bhc는 역시 핫후라이드가 최고.,해바라기핫후라이드치킨/1
194,뜨거운 치킨 오랜만에 먹어봐요. 맛은 단연코 최고~ 배달기사님도 친절하시고요 ㅎ,"순살뿌링클/1,해바라기후라이드치킨/1"
195,요거트맛나는 소스에 찍어먹으니 맛있네요,"뿌링클/1,콜라500ml/1"
196,처음 시켜봤는데 애들이 잘 먹네요,맛초킹（한마리）/1
197,^^배달친절하고 맛도 좋았습니다 다음에도 먹고시퍼요,"뿌링클다리¸/1,뿌링소떡/2,빨간소떡/1,뿌링치즈볼/1"
198,친절하시고 맛도 최강,"뿌링클/1(추가메뉴(뿌링뿌링소스,뿌링치즈볼)),콜라1.25L¸/1"
199,맛있게 먹었지만 포장지가 좀 아쉽네여 ㅠㅠ,"갈비레오/1,맛초킹（한마리）/1,뿌링소떡/2,콜라500ml/1"
200,이틀 연속 시켰는데 뿌링가루도 많이 뿌려주시고 맛있었습니다!,"뿌링소떡/3,뿌링치즈볼/2"
201,맛있어용 다음에 또 시켜먹을게염,"순살뿌링클/1,달콤바삭치즈볼/1"
202,배달시간 딱 맞춰오셨어요. 따뜻하고 맛있는 치킨 잘 먹었습니다. ^^,맛초킹（한마리）/1
203,배달도 빨랐고 너무너무 맛있었어요!!!,"뿌링소떡/3(추가메뉴(치킨무)),뿌링치즈볼/1,콜라1.25L¸/1"
204,맛있어욤 날개만은 처음시켜보는데 너무 좋았어요 다음에 또 이거 시켜먹을게여,"뿌링클날개¸/1,뿌링치즈볼/1"
205,역시 프링클 맛나요,"순살뿌링클/1(추가메뉴(뿌링치즈볼)),콜라1.25L¸/1"
206,내입맛에 딱이네요.먹고 또먹고싶은맛,"해바라기후라이드치킨/1,콜라1.25L¸/1"
207,양 너무 작게 시켜서 죄송했는데 그래도 친절하게 배달해 주셨어요! 최소 주문 가격이 비교적 낮아서 혼자 시켜먹기 좋아요!,"미니콜팝/2,달콤바삭치즈볼/1(추가메뉴(뿌링뿌링소스)),콜라1.25L¸/1,뿌링뿌링소스/1"
208,완전 맛있어요~~~,"치하오/1(추가메뉴(치킨무,뿌링소떡))"
209,치즈볼이 좀 기름진거 빼곤 좋았어요!,"순살뿌링클/1(추가메뉴(뿌링뿌링소스)),뿌링소떡/1,뿌링치즈볼/1,달콤바삭치즈볼/1,사이다1.25L¸/1,뿌링뿌링소스/2"
210,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,뿌링클/1
211,배달은완전느리지만 맛있게 잘먹었습니다,뿌링클＋치즈볼/1
212,1시반 40분 만에 받았구요 다시는 선결제 안하고 전화로 시간약속받고 주문할랍니다 맛은 있어요 ㅎ,"맛초킹（한마리）/1,해바라기핫후라이드치킨/1"
213,Bhc는 갑입니다 너무 맛있어용,"뿌링빅콜팝/1(추가메뉴(뿌링뿌링소스)),달콤바삭치즈볼/1"
