,리뷰,메뉴
118,역시 치킨은 페리카나죠,반반치킨/1
119,페리크나 개조으요 항상맛있어,순살 양념/1
120,좋아 페리카나 너무 좋아,
121,페리카나 양념이야 워낙 믿고먹는 그맛이었습니다. 다만 닭이 튀기고 또 튀긴? 그런 딱딱한 식감이었어요.,두마리치킨3세트（양념치킨＋양념치킨＋콜라 1.25L）/1
122,맛있게 잘먹었어요! 양도 많고 배달도 빠른편이었던거같아요... 아닌가...?ㅎㅎㅎ 무튼 잘먹었습니다,후라이드치킨/1
123,닭 몇일된것쓴거에요? 냄새많이나요 딱딱하고맛도없고 17000원너무아깝네요,반반치킨/1
124,맛있게 잘 먹었습니다.감사합니다.,순살 양념/1
125,처음 시켜봤는디 맛있게 잘 먹었습니다 다음에도 또 이용할 것 같네요,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
126,맛있게 잘 먹었네요,두마리치킨1세트（후라이드＋후라이드＋콜라 1.25L）/1
127,페리카나 양념치킨이 생각날때 시켜먹습니다 언제나 맛있음,반반치킨/1
128,감사합니다 맛있어요,반반치킨/1
129,양념치킨은 페리카나가 제일 맛있는 것 같아요ㅋ 양념소스가 좀만 더 있있었음 더 좋았을 것 같지만 그래도 맛있엉요~!,순살 양념/1
130,앞으로 페리카나입니다.,양념치킨/1
131,정말 맛있게잘먹었습니다!,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
132,항상 맛있게 질 먹고 있습니다.,순살 양념/1
133,맛있게 잘 먹었습니다.,순살 양념/1
134,맛잇게 잘먹엇습니다,순살 후라이드/1
135,페리카나 양념치킨은 맛있어요! 시간은 문자로 온거보다 더 걸렸지만. 치킨은 맛있네용,반반치킨/1
136,페리카나가 땡겨서 먹었는데 역시나 변하지 않는 그맛,순살 양념/1
137,우도안줫ㄷ굯ㄱ딛ㅈㄱ,양념치킨/1
138,👏👏👏👏👏👏👏👏👏👏,양념치킨/1
139,배부르게 먹었어요:),순살 양념/1
140,맛은있어요그냥저냥임,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
141,언제나 맛나요ㅎㅎㅎ,반반치킨/1
142,사장님이 매우 친절하시고 맛도 괜찮습니다,순살 양념/1
143,맛있게 잘먹었습니다. 굳굳,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
144,맛있는데 간장은 너무좀 짜네요 그래도 잘먹었습니다!,매운양념치킨/1
145,사장님 진짜친절하셔서 좋았고 맛도 있어서 굿굿,맵삭치킨/1
146,정말 실망한치킨입니다 기대가컸나봐요,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
147,굿굿ㄷㄱㅈ굿ㄷ궁붐그,반반치킨/1
148,배달도 빠르고 좋습니다ㅡ 페리카나 역시 맛있어요!,반반치킨/1
149,정말 맛있어요! 진짜 좋은닭 맛있는 양념!,양념치킨/1
150,양이많고 잘먹었습니다,반반치킨/1
151,닭 자체도 좋은 것 쓰는 거 같아요,두마리치킨3세트（양념치킨＋양념치킨＋콜라 1.25L）/1
152,역시나 맛있어요ㅎㅎ 차가워도 따뜻해도 맛잇네여ㅎㅎ,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
153,맛있어요 옛날치킨 맛,반반치킨/1
154,담백한지ㅎㅎ 달달한지ㅎㅎ 궁금하면 먹어봐요ㅎㅎ,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
155,불금이라서 그런지 예상 시간보다 다소 늦었습니다. 순살 양은 괜찮다고 생각하는데 닭이 딱딱하네요... 다음부터는 순살 말고 뼈 있는거 먹어야겠어요. 그래도 여기가 주변 페리카나 중에선 제일 맛있어요.,순살치킨B세트（순살양념＋순살후라이드＋콜라 1.25L）/1
156,"빠르고 맛있습니다,",양념치킨/1
157,맛있는데 페리카나치킨은 살이 너무없어요ㅠ 푸짐했음좋겠지만 맛있게먹었어요~,반반치킨/1
158,괜찮아요!!!!!!,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
159,군ㅅㄴᆞㄷㅈㅅㄴ 굿이오ㅡ,양념치킨/1
160,잘먹었습니다 양념이 맛있네요.,반반치킨/1
161,맛있게 먹었습니다 ㅎㅎ,
162,자주 시켜먹어요. 늘 맛있어요.,반반치킨/1
163,맛있어요~~~~~~^^,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
164,반반치킨 주문해서 먹었는데 맛있어요.,
165,조카들이랑 시켜서 먹었는데 너무 맛있었어요 ㅎㅎ,
166,항상 맛있어요,두마리치킨3세트（양념치킨＋양념치킨＋콜라 1.25L）/1
167,처음 주문해봤는데 맛있게 잘먹었습니다,
168,맛있어요,
169,맛있어요 ~^^,두마리치킨2세트（후라이드＋양념치킨＋콜라 1.25L）/1
170,옛날양념치킨맛이나요 맛있어요,
171,양념을 시켰는데 그렇게 맛있지않네요,순살 양념/1
172,양념 치킨 핵맛! 간장이니 치즈니 여러 치킨을 돌고돌아 결국 페리카나 양념치킨ㅋㅋ! 맛있어요. 딱 우리가 생각하는 양념치킨 맛!,양념치킨/1
