,리뷰,메뉴
79,전에 처음 고구마 피자를 시켰을 때는 진짜 먹을 만해서 만족하면서 먹었습니다 근데 다시 시켜보니 피자 한 조각을 떼려고 했는데 옆 조각 토핑까지 통째로 같이 들려지는 일도 있네요 저녁 때라 주문이 많으셔서 하나하나 전부 신경을 쓰실 수는 없으시겠지만 이번 건 실망했습니다,"스위트고구마 피자 L/1(L사이즈 추가선택(치즈크러스트 추가)),콜라 1.25L/1"
80,좋아여좋아녀좋아여즇아여,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(치킨바베큐피자L),L 추가 선택(치즈크러스트 추가),추가 선택(버팔로윙5개))"
81,새벽2시에주문할수있다늬 너무감사드려요^^ 배달도빨랐고요.친절하셨어요^^ 처음시켜봤는데~맛있어요~토핑씹히는맛이최고~~~,"슈퍼슈프림 피자 M/1(M사이즈 추가선택(치즈크러스트 추가)),치즈오븐스파게티/1,갈릭디핑소스/2,피클/2,콜라 1.25L/1"
82,무난합니다 대체로,"SET2（명품오리지널피자 L＋버팔로윙 5개 or 치즈스틱 5개＋치즈오븐스파게티＋콜라 1.25L）/1(SET메뉴 피자선택(스위트고구마피자L),L 추가 선택(치즈크러스트 추가),추가 선택(치즈스틱5개))"
83,그냥 그럭저럭 먹었어요 윗부분 치즈는 엄청 맛있는데 도우가 질겨서 이빨이 다아프네요 ㅜ,슈퍼슈프림 피자 M/1
84,야식으로 시켜먹었는데 배달도 빠르고...!! 맛은 그냥 최고,"슈퍼슈프림 피자 M/1,미트소스스파게티/1,콜라 500mL/1"
85,너무 맛있습니다 배달도 아주 빠릅니다,슈퍼슈프림 피자 L/2(L사이즈 추가선택(치즈추가))
86,너무 맛있습니다 배달도 아주 빠릅니다,"스위트고구마 피자 L/1(L사이즈 추가선택(치즈추가)),핫치킨 피자 L/1(L사이즈 추가선택(치즈추가))"
87,너무 맛있습니다 배달도 아주 빠릅니다,슈퍼슈프림 피자 L/2(L사이즈 추가선택(치즈추가))
88,너무 맛있습니다 배달도 아주 빠릅니다,슈퍼슈프림 피자 L/2(L사이즈 추가선택(치즈추가))
89,진짜 잘먹었어요 맜있어요 ㅠㅠㅠ,"불고기 피자 L/1(L사이즈 추가선택(골드추가,치즈추가))"
90,맛있습니다. 가격에 비해 양은 조금 부족한거같아요.,불고기 피자 M/1(M사이즈 추가선택(씬도우 추가))
91,!!!우리가아는바로그맛,치즈 피자 M/1(M사이즈 추가선택(치즈추가))
92,맛도 좋고 배달도 그럭저럭 괜찮은데 왜 피자가 잘려져 있는게 양이 온전치가 않을까요..그래도 잘 먹었어요,"치즈 피자 M/1,미트소스스파게티/1,갈릭디핑소스/1"
93,매주시키고 있어요 넘나맛있어요,"슈퍼슈프림 피자 M/1,콜라 1.25L/1"
94,맛나게 잘먹었습니다,하와이언 피자 M/1(M사이즈 추가선택(토핑추가))
95,처움 시켜먹어봤는데 맛있었습니다!,"베이컨체다프라이 피자 L/1,콜라 1.25L/1"
96,맛있어서 다먹고 찍 ... 맛나고 젤 좋은건 늦은 새벽까지 피자를 먹을수있다는거,슈퍼슈프림 피자 M/1(M사이즈 추가선택(치즈크러스트 추가))
97,피자는 역시 임실 불고기죠 또시킬께요,"불고기 피자 M/1,콜라 500mL/1"
98,오 존맛이었어요!!!,"버팔로윙 10개/1,콜라 1.25L/1"
99,배달 빠르고 맛있음,"슈퍼슈프림 피자 M/1,콜라 1.25L/1"
100,좋아..................,슈퍼슈프림 피자 L/1
101,잘먹었어요 감사합니다,대박세트（오리지널크러스트 L＋치즈오븐스파게티＋콜라 1.25L）/1(명품 오리지널크러스트 선택(불고기 피자L))
102,빠르고맛있습니다 좋아요,슈퍼슈프림 피자 L/1
